,,,,,,,,,,,,,,,,,,,,,,,,,,
업종코드-10차 표준산업분류 연계표,,,,,,,,,,,,,,,,,,,,,,,,,,
일련번호,,,,,,,,,,,,,,,,,,,,,,,,세부설명,,
,"2021년 귀속
업종코드",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,"표준산업
분류",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,메인,,,
23,015000,A,"농업, 임업 및 어업",01,농업,015,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,수렵 및 관련 서비스업,1,01500,A,"농업, 임업 및 어업",01,농업,015,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,수렵 및 관련 서비스업,1,,,,
24,020100,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,임업용 종묘 생산업,1,02011,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,임업용 종묘 생산업,1,,,,
25,020101,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,육림업,1,02012,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,육림업,1,,,,
26,020102,A,"농업, 임업 및 어업",02,임업,020,임업,0201,임산물 채취업,임산물 채취업,1,02030,A,"농업, 임업 및 어업",02,임업,020,임업,0203,임산물 채취업,임산물 채취업,1,,,,
27,020200,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업,1,02020,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업,1,,,,
28,020300,A,"농업, 임업 및 어업",02,임업,020,임업,0203,임업 관련 서비스업,임업 관련 서비스업,1,02040,A,"농업, 임업 및 어업",02,임업,020,임업,0204,임업 관련 서비스업,임업 관련 서비스업,1,,,,
29,051102,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,연근해 어업,1,03112,A,"농업, 임업 및 어업",03,어업,031,어로 어업,0311,해수면 어업,연근해 어업,1,,,,
30,051104,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,원양 어업,1,03111,A,"농업, 임업 및 어업",03,어업,031,어로 어업,0311,해수면 어업,원양 어업,1,,,,
31,051200,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0512,내수면 어업,내수면 어업,1,03120,A,"농업, 임업 및 어업",03,어업,031,어로 어업,0312,내수면 어업,내수면 어업,1,,,,
32,052101,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,해수면 양식 어업,1,03211,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0321,양식 어업,해수면 양식 어업,1,,,,
